Organism, OR1/3/7_CODING, OR1/3/7_PSEUDOGENE, OR10_CODING, OR10_PSEUDOGENE, OR11_CODING, OR11_PSEUDOGENE, OR12_CODING, OR12_PSEUDOGENE, OR14_CODING, OR14_PSEUDOGENE, OR2/13_CODING, OR2/13_PSEUDOGENE, OR4_CODING, OR4_PSEUDOGENE, OR5/8/9_CODING, OR5/8/9_PSEUDOGENE, OR51_CODING, OR51_PSEUDOGENE, OR52_CODING, OR52_PSEUDOGENE, OR55_CODING, OR55_PSEUDOGENE, OR56_CODING, OR56_PSEUDOGENE, OR6_CODING, OR6_PSEUDOGENE, TAAR1_PSEUDOGENE, TAAR2_PSEUDOGENE, TAAR3_PSEUDOGENE, TAAR5_PSEUDOGENE, TAAR6_PSEUDOGENE, TAAR7_PSEUDOGENE, TAAR8_PSEUDOGENE, TAAR9_PSEUDOGENE, TAS1R1_CODING, TAS1R1_PSEUDOGENE, TAS1R2_PSEUDOGENE, TAS1R3_PSEUDOGENE, V1R_CODING, V1R_PSEUDOGENE, V2R116_proteinAlignment_CODING, V2R116_proteinAlignment_PSEUDOGENE, V2R1_CODING, V2R1_PSEUDOGENE, V2R26_CODING, V2R26_PSEUDOGENE, _, bird_gammaOR_CODING, bird_gammaOR_PSEUDOGENE, squamate_V2r_CODING, squamate_V2r_PSEUDOGENE
Accipiter_melanochlamys_GCA_027497775.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 7, 18, 0, 7, 1, 0, 0, 4, 176, 39, 3, 1, 28, 2, 6, 6, 15, 0, 0, 0, 0, 0, 3, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 1, 0, 172, 33, 0, 0
Accipiter_melanoleucus_GCA_027479025.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 8, 5, 0, 3, 1, 0, 0, 7, 1, 2, 3, 1, 23, 4, 5, 4, 15, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 1, 0, 14, 56, 0, 0
Accipiter_novaehollandiae_GCA_027479285.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 6, 0, 1, 1, 0, 0, 4, 2, 1, 2, 1, 18, 2, 3, 5, 15, 4, 0, 0, 0, 0, 2, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 0, 0, 10, 31, 0, 0
Accipiter_rufiventris_GCA_025308975.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 8, 3, 0, 0, 1, 1, 0, 4, 2, 2, 4, 1, 22, 8, 5, 3, 14, 3, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 0, 0, 22, 41, 0, 0
Accipiter_soloensis_GCA_025727755.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 7, 0, 0, 1, 0, 0, 4, 2, 1, 3, 0, 18, 1, 3, 7, 14, 4, 0, 0, 0, 0, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 15, 34, 0, 0
Accipiter_superciliosus_GCA_027559655.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 7, 10, 0, 1, 1, 0, 0, 3, 4, 1, 2, 2, 23, 4, 4, 5, 12, 3, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 2, 0, 0, 23, 20, 0, 0
Accipiter_virgatus_GCA_025728005.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 7, 0, 0, 1, 1, 0, 6, 2, 1, 3, 1, 23, 3, 6, 8, 16, 3, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 22, 43, 0, 0
Acinonyx_jubatus_GCA_027475565.2_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 141, 41, 88, 34, 37, 6, 7, 1, 8, 12, 200, 82, 95, 50, 230, 62, 59, 20, 131, 20, 1, 3, 18, 5, 97, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 32, 2, 4, 2, 2, 1, 4, 0, 0, 7, 0, 0
Acipenser_gueldenstaedtii_GCA_024762115.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 11, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 8, 20, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 5, 13, 32, 35, 43, 49, 0, 15, 62, 2, 9
Acipenser_oxyrinchus_oxyrinchus_GCA_013184475.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 3, 5, 18, 32, 30, 15, 0, 10, 19, 0, 5
Acipenser_ruthenus_GCA_010645085.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 0, 9, 3, 61, 12, 124, 19, 0, 46, 61, 3, 3
Acipenser_transmontanus_GCA_020113195.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 10, 31, 21, 30, 18, 0, 7, 12, 0, 1
Acomys_cahirinus_GCA_004027535.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 137, 35, 132, 23, 17, 2, 16, 3, 4, 7, 181, 48, 129, 53, 367, 66, 67, 10, 128, 14, 1, 4, 16, 1, 112, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 87, 51, 296, 229, 6, 2, 1, 2, 0, 3, 2, 0, 1
Acomys_dimidiatus_GCA_907164435.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 140, 24, 114, 24, 14, 5, 10, 6, 4, 8, 183, 46, 128, 48, 365, 54, 65, 6, 132, 13, 4, 0, 12, 1, 103, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 79, 25, 205, 124, 6, 0, 1, 2, 0, 0, 1, 0, 1
Acomys_kempi_GCA_907164505.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 129, 16, 114, 16, 21, 1, 6, 4, 3, 6, 138, 17, 106, 41, 339, 54, 58, 8, 121, 6, 5, 1, 15, 2, 77, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 41, 9, 40, 38, 6, 0, 1, 1, 0, 0, 0, 0, 0
Acomys_percivali_GCA_907169655.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 139, 40, 100, 33, 11, 4, 10, 6, 4, 5, 160, 44, 128, 67, 338, 49, 64, 8, 121, 10, 2, 0, 7, 7, 92, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 50, 34, 114, 64, 3, 1, 1, 3, 0, 1, 1, 0, 0
Acomys_russatus_GCA_903995435.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 111, 17, 118, 29, 16, 0, 5, 5, 4, 3, 207, 48, 132, 61, 346, 63, 64, 14, 134, 8, 6, 0, 13, 4, 117, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 70, 34, 203, 127, 7, 1, 1, 5, 0, 0, 4, 0, 6
Acridotheres_javanicus_GCA_002849675.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 0, 14, 0, 19, 2, 1, 0, 1, 3, 0, 0, 0, 0, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 37, 43, 0, 0
Acridotheres_tristis_GCA_027559615.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 1, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 0, 11, 2, 1, 0, 2, 1, 0, 0, 0, 0, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 1, 0, 0, 393, 59, 0, 0
Acrocephalus_arundinaceus_GCA_021534815.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 4, 1, 0, 0, 0, 0, 2, 274, 1, 0, 1, 3, 8, 3, 3, 0, 2, 3, 0, 0, 0, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1938, 1272, 0, 0
Acrocephalus_familiaris_kingi_GCA_022441285.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 5, 2, 0, 0, 0, 0, 0, 3, 1, 0, 0, 6, 10, 2, 1, 0, 4, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 2, 0, 17, 31, 0, 0
Acrocephalus_scirpaceus_scirpaceus_GCA_910950805.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 3, 0, 0, 0, 0, 0, 0, 18, 1, 0, 3, 3, 8, 3, 2, 0, 2, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 423, 116, 0, 0
Actenoides_hombroni_GCA_024336885.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 5, 0, 2, 1, 1, 0, 14, 3, 5, 6, 2, 4, 5, 3, 1, 4, 3, 0, 0, 0, 0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 0, 1, 45, 0, 0
Actenoides_lindsayi_GCA_025331215.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 3, 12, 0, 1, 1, 1, 0, 10, 1, 2, 3, 0, 5, 4, 3, 1, 5, 2, 0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 1, 0, 6, 25, 0, 0
Actinemys_marmorata_GCA_022086475.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 6, 3, 354, 184, 3, 26, 20, 3, 103, 185, 57, 51, 31, 43, 227, 147, 151, 18, 558, 73, 1, 0, 0, 0, 333, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 0, 7, 0, 0, 19, 107, 4, 0
Actinemys_pallida_GCA_023634205.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 6, 4, 320, 187, 4, 23, 19, 5, 106, 142, 49, 44, 31, 45, 232, 148, 191, 14, 531, 60, 2, 0, 0, 0, 286, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 1, 5, 2, 0, 11, 125, 4, 0
Addax_nasomaculatus_GCA_019593525.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 200, 122, 142, 106, 35, 11, 16, 7, 2, 6, 196, 95, 149, 157, 324, 202, 59, 26, 115, 47, 2, 0, 18, 9, 128, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 14, 2, 12, 2, 0, 1, 0, 0, 0, 10, 0, 0
Adelosebastes_latens_GCA_916700685.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 11, 11, 7, 10, 91, 17, 0, 12, 54, 11, 9
Aegithalos_caudatus_GCA_013389925.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 5, 2, 1, 1, 2, 1, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 3, 8, 0, 0
Aegotheles_bennettii_GCA_013398125.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 15, 4, 1, 0, 1, 0, 0, 0, 2, 1, 9, 1, 18, 2, 4, 1, 11, 1, 0, 0, 0, 0, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 1, 0, 4, 2, 0, 0
Aegypius_monachus_GCA_025309335.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 11, 17, 0, 3, 1, 0, 0, 1, 3, 0, 4, 7, 26, 7, 4, 7, 16, 1, 0, 0, 0, 0, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 2, 1, 0, 11, 38, 0, 1
Aeoliscus_strigatus_GCA_901007665.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 22, 2, 0, 5, 18, 1, 0
Aeorestes_cinereus_GCA_011751065.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 99, 64, 23, 9, 11, 4, 1, 0, 0, 0, 37, 17, 28, 20, 148, 36, 57, 11, 75, 29, 1, 0, 10, 4, 50, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0
Aepyceros_melampus_GCA_006408695.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 124, 181, 85, 127, 29, 24, 8, 9, 1, 8, 207, 176, 101, 122, 228, 299, 53, 65, 96, 97, 3, 0, 11, 19, 106, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32, 0, 13, 1, 0, 0, 1, 0, 0, 16, 0, 0
Agapornis_roseicollis_GCA_002631895.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 5, 3, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 53, 7, 2, 3, 2, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 1, 12, 0, 0
Agelaius_phoeniceus_GCA_020745825.2_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 6, 3, 2, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 403, 66, 0, 0
Agelaius_tricolor_GCA_023055355.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 5, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 5, 7, 2, 2, 0, 1, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 675, 95, 0, 0
Ageneiosus_marmoratus_GCA_003347165.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 2, 22, 13, 113, 20, 0, 13, 29, 1, 4
Ahaetulla_prasina_GCA_028640845.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 19, 6, 47, 18, 11, 3, 0, 0, 2, 6, 27, 19, 22, 8, 86, 14, 3, 3, 14, 8, 0, 1, 0, 0, 38, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 45, 35, 4, 4, 896, 138, 0, 42, 23, 1049, 130
Ailuropoda_melanoleuca_GCA_002007445.3_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 254, 167, 106, 32, 35, 64, 4, 3, 13, 20, 198, 154, 179, 289, 303, 112, 79, 85, 129, 81, 4, 6, 21, 9, 113, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 35, 2, 5, 1, 1, 0, 1, 0, 2, 6, 0, 0
Ailurus_styani_GCA_002007465.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 150, 37, 120, 20, 26, 4, 0, 0, 4, 10, 170, 90, 157, 58, 250, 50, 82, 23, 160, 17, 3, 0, 29, 4, 107, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 25, 2, 2, 1, 1, 2, 1, 0, 0, 4, 0, 0
Aix_galericulata_GCA_024635365.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 8, 2, 0, 0, 1, 0, 0, 4, 5, 0, 7, 0, 27, 4, 4, 1, 10, 6, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 3, 1, 0, 49, 12, 0, 0
Akarotaxis_nudiceps_GCA_943590845.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 4, 7, 22, 12, 0, 6, 33, 1, 4
Alaudala_cheleensis_GCA_013398995.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 2, 1, 0, 1, 13, 0, 0
Alauda_arvensis_GCA_902810485.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 13, 3, 0, 0, 0, 0, 0, 16, 0, 0, 3, 4, 6, 1, 3, 0, 1, 0, 0, 0, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 2, 1, 0, 7, 30, 0, 0
Albula_glossodonta_GCA_019788955.1_genomic_chemo.tblastn.merged.chemo.output.gff3.name.fasta.ORs.ORs.clean.fasta, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 14, 2, 77, 5, 248, 7, 0, 18, 18, 14, 3
